                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     45,                   1.26,                 1.0138,                 1.2397,                0.87443,                0.76071,                0.83294,                 0.5756,                 1.1277,                0.75416,                 1.1262,               0.005644,               0.005644,               0.005644
                     46,                 1.2477,                0.99284,                 1.2397,                0.86235,                0.77871,                0.84027,                0.58075,                 1.1248,                0.74975,                 1.1039,               0.005545,               0.005545,               0.005545
                     47,                 1.2649,                 1.0225,                 1.2349,                0.86122,                0.77772,                0.84164,                0.58586,                  1.104,                 0.7527,                 1.1084,               0.005446,               0.005446,               0.005446
                     48,                 1.2467,                0.98654,                 1.2331,                0.85134,                0.77121,                0.83997,                0.59091,                 1.0884,                0.73901,                 1.0896,               0.005347,               0.005347,               0.005347
                     49,                 1.2304,                0.96129,                 1.2113,                0.87646,                0.79888,                0.85836,                 0.6052,                 1.0808,                0.71321,                 1.0747,               0.005248,               0.005248,               0.005248
                     50,                 1.2239,                0.94006,                 1.2053,                0.88177,                0.79043,                  0.861,                0.61172,                 1.0682,                0.67908,                 1.0807,               0.005149,               0.005149,               0.005149
                     51,                 1.2256,                0.95693,                 1.2097,                 0.8922,                0.79846,                0.86657,                0.61212,                 1.0769,                0.67595,                  1.074,                0.00505,                0.00505,                0.00505
                     52,                 1.1974,                0.92597,                 1.1915,                0.89291,                0.80624,                0.86982,                0.62651,                 1.0393,                 0.6642,                 1.0536,               0.004951,               0.004951,               0.004951
                     53,                 1.1746,                0.91156,                 1.1754,                0.89695,                0.81089,                0.88198,                0.63104,                 1.0241,                0.64717,                 1.0449,               0.004852,               0.004852,               0.004852
                     54,                 1.1968,                 0.9053,                 1.1886,                0.88456,                0.81064,                0.87195,                0.63237,                 1.0108,                0.64166,                 1.0479,               0.004753,               0.004753,               0.004753
                     55,                 1.1923,                0.90398,                 1.1853,                 0.8978,                   0.82,                0.88168,                0.63423,                 1.0168,                0.63647,                 1.0513,               0.004654,               0.004654,               0.004654
                     56,                 1.1741,                0.87778,                 1.1733,                0.91708,                0.82272,                 0.8907,                0.65091,                0.98458,                0.60516,                 1.0298,               0.004555,               0.004555,               0.004555
                     57,                 1.1569,                0.85723,                 1.1628,                 0.9041,                0.84063,                0.89398,                 0.6561,                0.98758,                 0.5941,                 1.0301,               0.004456,               0.004456,               0.004456
                     58,                 1.1661,                0.86734,                 1.1723,                0.89982,                0.83521,                0.89143,                0.65781,                0.98278,                0.58892,                  1.026,               0.004357,               0.004357,               0.004357
